Mkt(a1),Advt(a2),Dist(a3),Misc(a4),R&D(a5),Sales(D)
L,,L,,,L
L,,,L,,L
L,,,,L,L
,L,L,,,L
,L,,L,,L
,L,,,L,L
L,L,L,,,L
L,L,,L,,L
L,L,,,L,L
L,,L,L,,L
L,,L,,L,L
L,,,L,L,L
,L,L,L,,L
,L,L,,L,L
,L,,L,L,L
L,L,L,L,,L
L,L,L,,L,L
L,L,,L,L,L
L,,L,L,L,L
,L,L,L,L,L
A,,,,,A
,A,,,,A
A,A,,,,A
A,,L,,,A
A,,,L,,A
A,,,,L,A
,A,L,,,A
,A,,L,,A
,A,,,L,A
A,A,L,,,A
A,A,,L,,A
A,A,,,L,A
A,,L,L,,A
A,,L,,L,A
A,,,L,L,A
,A,L,L,,A
,A,L,,L,A
,A,,L,L,A
A,A,L,L,,A
A,A,L,,L,A
A,A,,L,L,A
A,,L,L,L,A
,A,L,L,L,A
,,H,,,H
,,,H,,H
,,,,H,H
L,,H,,,H
L,,,H,,H
L,,,,H,H
,L,H,,,H
,L,,H,,H
,L,,,H,H
,,H,H,,H
,,H,,H,H
,,,H,H,H
L,L,H,,,H
L,L,,H,,H
L,L,,,H,H
L,,H,H,,H
L,,H,,H,H
L,,,H,H,H
,L,H,H,,H
,L,H,,H,H
,L,,H,H,H
,,H,H,H,H
L,L,H,H,,H
L,L,H,,H,H
L,L,,H,H,H
L,,H,H,H,H
,L,H,H,H,H
